ID,ESTIMATIVA,RESPOSTA,ERRO,ERRO_ACEITAVEL,ERRO < ERRO_ACEITAVEL,EPS,DELTA,SOMA_PESOS,T,K,TIME,,,"0,01",,DELTA,EPS
5,858151,0,858151,3222521,TRUE,"0,15","0,1",21483478,3,13,"5,72531",,,"0,01",,"0,1","0,15"
1,1114514,0,1114514,4296695,TRUE,"0,2","0,01",21483478,5,10,"7,15243",,,"0,01",,"0,01","0,2"
2,1113506,0,1113506,4296695,TRUE,"0,2","0,01",21483478,5,10,"7,15245",,,"0,01",,"0,01","0,2"
3,1114207,0,1114207,4296695,TRUE,"0,2","0,01",21483478,5,10,"7,15245",,,"0,01",,"0,01","0,2"
4,1114207,0,1114207,4296695,TRUE,"0,2","0,01",21483478,5,10,"7,15245",,,"0,01",,"0,01","0,2"
5,1112097,0,1112097,4296695,TRUE,"0,2","0,01",21483478,5,10,"7,15245",,,"0,02",,"0,01","0,2"
1,1116196,0,1116196,4296695,TRUE,"0,2","0,02",21483478,4,10,"6,44472",,,"0,02",,"0,02","0,2"
2,1108472,0,1108472,4296695,TRUE,"0,2","0,02",21483478,4,10,"6,44473",,,"0,02",,"0,02","0,2"
3,1124263,0,1124263,4296695,TRUE,"0,2","0,02",21483478,4,10,"6,44473",,,"0,02",,"0,02","0,2"
4,1115269,0,1115269,4296695,TRUE,"0,2","0,02",21483478,4,10,"6,44474",,,"0,02",,"0,02","0,2"
5,1119275,0,1119275,4296695,TRUE,"0,2","0,02",21483478,4,10,"6,44474",,,"0,03",,"0,02","0,2"
1,1112977,0,1112977,4296695,TRUE,"0,2","0,03",21483478,4,10,"6,44808",,,"0,03",,"0,03","0,2"
2,1114762,0,1114762,4296695,TRUE,"0,2","0,03",21483478,4,10,"6,44809",,,"0,03",,"0,03","0,2"
3,1113365,0,1113365,4296695,TRUE,"0,2","0,03",21483478,4,10,"6,4481",,,"0,03",,"0,03","0,2"
4,1124674,0,1124674,4296695,TRUE,"0,2","0,03",21483478,4,10,"6,4481",,,"0,03",,"0,03","0,2"
5,1112977,0,1112977,4296695,TRUE,"0,2","0,03",21483478,4,10,"6,4481",,,"0,04",,"0,03","0,2"
1,1111071,0,1111071,4296695,TRUE,"0,2","0,04",21483478,4,10,"6,45916",,,"0,04",,"0,04","0,2"
2,1113465,0,1113465,4296695,TRUE,"0,2","0,04",21483478,4,10,"6,45917",,,"0,04",,"0,04","0,2"
3,1112825,0,1112825,4296695,TRUE,"0,2","0,04",21483478,4,10,"6,45917",,,"0,04",,"0,04","0,2"
4,1116930,0,1116930,4296695,TRUE,"0,2","0,04",21483478,4,10,"6,45918",,,"0,04",,"0,04","0,2"
5,1111780,0,1111780,4296695,TRUE,"0,2","0,04",21483478,4,10,"6,45918",,,"0,05",,"0,04","0,2"
1,1119838,0,1119838,4296695,TRUE,"0,2","0,05",21483478,3,10,"5,71795",,,"0,05",,"0,05","0,2"
2,1116312,0,1116312,4296695,TRUE,"0,2","0,05",21483478,3,10,"5,71797",,,"0,05",,"0,05","0,2"
3,1111556,0,1111556,4296695,TRUE,"0,2","0,05",21483478,3,10,"5,71797",,,"0,05",,"0,05","0,2"
